Keyword to AVOID,Reason,What To Do Instead,,
pain management doctor,Attracts opioid seekers. Imran explicitly wants to avoid this,"Use ""interventional spine"" or specific procedure names instead",,
pain pills near me,Opioid seekers,Never target. Focus on procedure-based terms,,
pain medication doctor katy,Opioid seekers,Never target,,
medicaid pain doctor,Low-reimbursement patients. Imran does not accept Medicaid,Do not create content targeting Medicaid patients,,
cheap pain doctor,Low-value intent,"Focus on insurance acceptance, not price",,
prp hair loss katy,Different use of PRP - cosmetic/dermatology,"Specify ""PRP for joint pain"" or ""PRP for musculoskeletal""",,
prp skin treatment,"Cosmetic PRP, not musculoskeletal",Clearly differentiate on PRP page,,
suboxone doctor katy,"Addiction medicine, not interventional pain",Do not target,,
opioid clinic katy,Addiction medicine,Do not target,,
